track_name,artist(s)_name,artist_count,released_year,released_month,released_day,release_date,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,streams (millions)
Blessed-Cursed,ENHYPEN,3,2022,1,17,1/17/2022,2849,0,78489819,39,45,27,0,1,140,C#,Minor,81,6,84,5,23,6,6,78.489819
Primera Cita,Carin Leon,1,2023,6,22,6/22/2023,250,26,78300654,16,149,10,5,168,130,G,Minor,79,96,86,9,0,9,9,78.300654
Conex��es de M��fia (feat. Rich,"Rich The Kid, Matu�",2,2022,12,2,12/2/2022,398,0,78139948,2,2,6,0,2,80,F,Minor,33,51,59,76,0,44,6,78.139948
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,2023,3,24,3/24/2023,407,0,77377503,16,15,5,0,1,134,B,Minor,67,11,76,8,47,30,7,77.377503
Purple Hearts,"Kendrick Lamar, Ghostface Killah, Summer Walker",1,2022,1,10,1/10/2022,246,0,77337771,2,12,10,0,0,127,E,Minor,60,40,89,9,0,60,6,77.337771
Bite Me,ENHYPEN,1,2022,4,20,4/20/2022,266,27,77309611,6,40,6,6,202,158,A#,Major,54,50,40,61,0,10,6,77.309611
psychofreak (feat. WILLOW),"Camila Cabello, Willow",2,2023,4,30,4/30/2023,385,4,77233241,17,7,41,1,29,117,F#,Minor,77,69,58,39,0,26,5,77.233241
Starry Eyes,The Weeknd,2,2023,4,25,4/25/2023,351,9,76910644,16,90,10,0,64,110,B,Minor,76,26,70,1,0,41,6,76.910644
SOS,SZA,3,2022,5,13,5/13/2022,2308,0,76831876,7,0,7,0,0,138,D#,Minor,57,71,82,19,0,15,29,76.831876
A Veces (feat. Feid),"Feid, Paulo Londra",1,2023,5,22,5/22/2023,349,69,76767396,8,96,5,0,56,105,C#,Major,80,69,78,28,0,11,14,76.767396
Cart��o B,"MC Caverinha, KayBlack",2,2022,4,7,4/7/2022,918,0,75476209,24,0,52,0,0,180,G,Minor,63,45,64,34,0,9,8,75.476209
The Heart Part 5,Kendrick Lamar,1,2022,1,7,1/7/2022,1014,0,74601456,1,17,11,0,0,86,A,Minor,28,13,41,50,0,19,3,74.601456
Con La Brisa,"Ludwig Goransson, Foudeqush",1,2022,12,9,12/9/2022,827,0,73981293,6,18,1,0,0,119,G,Minor,51,51,66,67,0,9,23,73.981293
The Rumbling (TV Size),SiM,2,2022,11,3,11/3/2022,573,0,73513683,2,0,7,0,0,92,C#,Major,80,81,67,4,0,8,6,73.513683
Obsessed,"Abhijay Sharma, Riar Saab",2,2023,5,11,5/11/2023,269,4,71573339,7,2,30,1,11,108,A,Minor,84,55,47,26,0,20,64,71.573339
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",1,2022,5,8,5/8/2022,2939,0,71423324,29,0,30,0,0,98,G#,Minor,76,79,81,18,0,6,34,71.423324
Lovezinho,Treyce,2,2022,11,4,11/4/2022,486,0,71095708,8,1,7,0,0,114,D,Minor,62,25,44,51,33,14,3,71.095708
We Cry Together,"Kendrick Lamar, Taylour Paige",1,2022,1,10,1/10/2022,254,0,71014967,0,4,23,0,0,145,G#,Major,41,65,88,0,0,26,5,71.014967
Hits Different,Taylor Swift,2,2022,9,29,9/29/2022,161,6,71007139,10,79,2,0,42,135,F,Minor,80,85,74,62,0,8,9,71.007139
Peaches (from The Super Mario Bros. Movie),Jack Black,2,2023,6,2,6/2/2023,332,5,70106975,18,41,5,0,19,120,A,Major,78,5,30,21,0,13,5,70.106975
F2F,SZA,1,2022,7,28,7/28/2022,242,0,70069745,12,2,13,0,4,128,E,Minor,82,61,59,30,0,12,4,70.069745
VOID,Melanie Martinez,2,2022,5,13,5/13/2022,1635,0,68895644,4,1,6,0,0,108,B,Major,65,52,69,31,0,8,36,68.895644
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",1,2023,5,26,5/26/2023,547,0,68616963,15,15,6,0,0,106,F,Major,67,24,78,15,0,30,4,68.616963
SloMo,Chanel,1,2023,4,7,4/7/2023,34,0,68216992,0,0,0,0,0,92,A#,Minor,71,41,31,79,0,10,5,68.216992
S-Class,Stray Kids,1,2022,12,9,12/9/2022,989,0,67540165,5,9,1,0,0,90,D,Major,53,47,74,9,0,34,4,67.540165
Gone Girl,SZA,1,2023,3,29,3/29/2023,596,0,67070410,29,9,12,0,52,100,A,Major,72,42,66,18,4,19,4,67.07041
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",2,2023,6,21,6/21/2023,871,32,66902503,25,59,32,5,88,128,B,Major,78,59,65,10,0,26,5,66.902503
Gospel (with Eminem),"Eminem, Dr. Dre",1,2021,12,24,12/24/2021,1211,0,65719930,31,0,19,0,2,105,C#,Minor,73,59,81,13,0,9,6,65.71993
Bussin,"Nicki Minaj, Lil Baby",1,2023,6,2,6/2/2023,290,19,65496046,9,101,5,0,73,105,F,Minor,89,67,78,9,0,7,33,65.496046
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",1,2022,12,9,12/9/2022,892,0,65362788,3,17,2,0,0,150,F,Major,43,42,44,57,0,15,6,65.362788
Don���t Break My,The Weeknd,3,2023,6,23,6/23/2023,1117,80,65156199,82,145,65,16,"1,133",144,,Major,77,75,58,52,0,23,25,65.156199
Notice Me,SZA,2,2022,2,4,2/4/2022,1040,0,64787943,8,0,29,0,0,117,C#,Major,92,62,86,11,0,24,24,64.787943
Worldwide Steppers,Kendrick Lamar,2,2022,2,11,2/11/2022,847,0,64714573,25,0,14,0,0,140,B,Major,89,75,70,6,0,13,5,64.714573
MOJABI GHOST,"Tainy, Bad Bunny",3,2023,5,15,5/15/2023,178,6,64533040,6,71,1,0,31,100,E,Major,56,53,55,53,0,12,4,64.53304
Mami Chula,"Quevedo, Jhayco",1,2022,1,7,1/7/2022,1184,0,63803529,1,5,6,0,0,122,A#,Major,77,25,62,34,0,23,3,63.803529
thought i was playing,"21 Savage, Gunna",1,2022,12,9,12/9/2022,819,0,62019074,14,22,0,0,0,160,F,Major,72,78,68,28,0,11,12,62.019074
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",1,2022,5,13,5/13/2022,1480,0,61739839,1,0,5,0,0,72,A#,Minor,56,56,47,76,0,8,36,61.739839
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2,2023,6,29,6/29/2023,859,40,61245289,35,109,41,14,211,122,F#,Minor,81,74,71,14,0,56,4,61.245289
Mr. Morale,"Kendrick Lamar, Tanna Leone",2,2023,4,27,4/27/2023,875,4,61105704,17,13,27,0,43,120,G,Minor,80,33,70,22,0,9,4,61.105704
SORRY NOT SORRY,"Tyler, The Creator",2,2022,1,7,1/7/2022,807,0,60680939,3,0,5,0,0,148,C#,Major,68,29,73,0,0,7,7,60.680939
Super Shy,NewJeans,2,2023,5,26,5/26/2023,359,2,60350538,1,0,9,0,0,110,F#,Minor,66,32,40,81,0,11,3,60.350538
Columbia,Quevedo,2,2023,3,3,3/3/2023,329,0,58890931,14,35,1,0,0,148,E,Major,50,49,76,12,0,12,3,58.890931
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2022,5,13,5/13/2022,1860,0,58687425,1,0,3,0,0,174,A,Major,73,26,54,30,0,34,32,58.687425
69,"Nicky Jam, Feid",2,2023,3,31,3/31/2023,709,0,58473276,8,1,13,0,0,96,F#,Minor,48,50,80,40,0,37,20,58.473276
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,7,7,7/7/2023,422,55,58255150,37,202,21,5,168,150,F,Minor,78,52,82,18,0,15,7,58.25515
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",1,2023,7,7,7/7/2023,714,43,58149378,25,89,30,13,194,100,F,Major,67,26,71,37,0,11,4,58.149378
Smoking on my Ex Pack,SZA,2,2012,6,20,6/20/2012,641,50,58054811,1,52,8,0,"1,170",129,A,Major,63,84,82,70,8,9,7,58.054811
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyonc�",2,2023,5,18,5/18/2023,1134,22,57945987,39,14,48,2,3,93,G#,Major,79,58,62,11,0,11,23,57.945987
Conceited,SZA,1,2023,6,15,6/15/2023,2259,59,57876440,0,0,109,17,0,130,G,Minor,67,96,88,12,19,8,4,57.87644
���98 Braves,Morgan Wallen,4,2023,6,8,6/8/2023,773,33,57312735,20,46,21,8,99,170,G#,Minor,62,55,80,15,0,37,7,57.312735
LUNA,"Junior H, Peso Pluma",1,2022,12,9,12/9/2022,811,0,57144458,6,11,3,0,0,81,G#,Major,47,33,68,24,0,22,38,57.144458
25k jacket (feat. Lil Baby),"Gunna, Lil Baby",2,2023,5,19,5/19/2023,896,0,57089066,34,2,33,0,1,126,C#,Major,78,20,70,1,0,16,4,57.089066
SPACE MAN,Sam Ryder,1,2022,12,9,12/9/2022,899,0,56870689,2,14,2,0,0,150,C#,Major,79,77,46,5,0,11,7,56.870689
BABY HELLO,"Rauw Alejandro, Bizarrap",1,2023,3,3,3/3/2023,282,0,56533272,6,15,0,0,0,142,D,Major,49,48,67,10,0,26,3,56.533272
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",2,2023,6,22,6/22/2023,201,11,55842345,19,117,8,1,74,128,A,Minor,75,79,63,33,0,15,4,55.842345
Lady Mi Amor,Feid,2,2022,1,7,1/7/2022,620,0,54937991,17,3,3,0,0,115,F,Minor,90,74,54,16,0,13,28,54.937991
Dawn FM,The Weeknd,1,2022,2,22,2/22/2022,1329,0,54682594,42,51,32,0,0,80,B,Major,47,33,83,18,0,10,5,54.682594
Still Life,BIGBANG,2,2023,6,23,6/23/2023,1004,35,54266102,42,80,58,3,169,130,C#,Minor,77,84,89,17,0,43,5,54.266102
Stefania (Kalush Orchestra),KALUSH,5,2023,5,22,5/22/2023,182,8,54225632,3,88,1,0,52,110,G,Minor,76,96,72,32,0,9,4,54.225632
Mirror,Kendrick Lamar,1,2022,9,13,9/13/2022,330,0,53987404,3,0,2,0,0,93,D,Major,78,75,62,6,0,15,6,53.987404
HAPPY,NF,1,2022,1,7,1/7/2022,811,0,53933526,1,8,6,0,0,78,A,Minor,27,10,49,62,0,49,5,53.933526
TULUM,"Peso Pluma, Grupo Frontera",1,2022,4,5,4/5/2022,181,0,53909146,16,14,7,0,0,118,G#,Major,68,24,58,44,0,6,3,53.909146
I Can See You (Taylor���s Version) (From The,Taylor Swift,1,2022,3,10,3/10/2022,555,0,53729194,10,4,4,0,0,105,D,Major,83,32,82,14,0,12,4,53.729194
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",1,2022,5,13,5/13/2022,1929,0,53603447,2,0,4,0,0,92,E,Minor,66,29,65,23,0,8,7,53.603447
Far,SZA,1,2023,3,25,3/25/2023,660,0,52722996,22,7,11,0,78,106,G,Major,73,22,86,31,0,12,4,52.722996
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",2,2023,6,28,6/28/2023,266,34,52294266,20,185,13,8,197,168,F#,Major,56,63,87,39,0,11,5,52.294266
Worst Day,Future,1,2023,7,7,7/7/2023,516,38,52135248,73,119,42,1,150,123,F#,Major,69,82,76,6,0,6,3,52.135248
Too Late,SZA,2,2023,6,5,6/5/2023,215,6,51985779,6,14,8,2,4,84,A,Minor,43,14,74,1,0,19,8,51.985779
Cheques,Shubh,1,2022,12,9,12/9/2022,680,0,51641685,2,15,1,0,0,116,D,Major,61,48,55,67,0,16,8,51.641685
XQ Te Pones As�,"Yandel, Feid",3,2023,5,4,5/4/2023,675,1,50847624,9,13,11,0,1,178,C#,Minor,62,56,66,18,0,12,5,50.847624
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",1,2022,2,11,2/11/2022,910,0,50746620,20,3,24,0,0,89,C#,Major,65,60,60,11,0,10,40,50.74662
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",1,2022,12,8,12/8/2022,714,0,49262961,0,9,2,0,0,128,B,Major,45,35,68,78,0,39,8,49.262961
